idx,center_long,center_lat,long_1,long_2,lat_1,lat_2,roof_orientation,roof_shape,area,building,height,solar_area,energy_produced,radiance,tilt_angle
70,9.931704170349786,53.56178555567814,9.9307261,9.932922,53.5610668,53.5624639,nan,flat,12744.55543889664,retail,nan,11470.099895006975,2314379.4063150324,1153.0,24.705607000110327
71,9.863893300070467,53.599387149000606,9.8634688,9.8643787,53.5992581,53.599535,nan,nan,1299.96379870316,supermarket,nan,584.983709416422,117830.34366920279,1151.0,24.739448434100545
72,10.097036800961284,53.58787331017273,10.0964981,10.0975755,53.5876547,53.5880919,nan,nan,1950.9414898604157,yes,nan,877.9236704371871,176989.4119601369,1152.0,24.729085979155457
73,9.91494203166072,53.589864841532666,9.9147326,9.9151515,53.589723,53.5900067,nan,flat,418.9276627264917,yes,nan,377.0348964538425,76010.23512509465,1152.0,24.730878357379403
74,9.91404683200441,53.589695131232254,9.9136193,9.9144882,53.5895567,53.5898431,nan,nan,1150.800727095455,yes,nan,517.8603271929547,104400.64196209967,1152.0,24.730725618109027
75,9.913083935206137,53.58992814566561,9.9128903,9.9132776,53.5895189,53.5903375,nan,nan,956.6196659207344,yes,nan,430.4788496643305,86784.53609232903,1152.0,24.730935331099047
76,9.912404184048794,53.59002548624951,9.9119254,9.9129093,53.5896703,53.5903085,nan,nan,2938.646912527038,yes,nan,1322.391110637167,266594.04790445283,1152.0,24.73102293762456
77,9.910579923453437,53.589505015905466,9.9100845,9.9110693,53.5889726,53.5899826,nan,nan,5006.300126649439,yes,nan,2252.8350569922477,454171.5474896371,1152.0,24.730554514314917
78,9.912709628522109,53.590767609575046,9.9122178,9.9130456,53.5905316,53.5909878,nan,nan,1556.2550942786038,yes,nan,700.3147924253717,141183.46215295492,1152.0,24.73169084861754
79,9.91181722801148,53.59074197151861,9.9114734,9.9121443,53.5904796,53.5910301,nan,nan,1972.017259370536,industrial,nan,887.4077667167412,178901.40577009504,1152.0,24.73166777436675
80,9.91065702719886,53.590788708088326,9.9099866,9.9113481,53.590451,53.5911243,nan,gabled,5305.221437206492,industrial,nan,2387.3496467429213,481289.6887833729,1152.0,24.731709837279496
81,9.909459915893883,53.59120207704792,9.9089648,9.9099523,53.5910764,53.5913296,nan,gabled,1298.8050669766965,industrial,nan,584.4622801395134,117827.5956761259,1152.0,24.732081869343126
